2.3333,1.6667,2.1667,2,2,2.3333,1.6667,2.5,2.3333,2.1667,1.6667,1.5,2.3333,1.5,2
3.1667,2.5,2.5,2.6667,2.8333,2.5,2.5,3.3333,2.5,2.8333,2.8333,2.5,3.1667,2.3333,2.1667
3.1667,1.5,3.1667,2.5,2.8333,2.6667,3,2.6667,3,3.1667,2.1667,2.6667,3.1667,2.5,3.1667
3.5,2.8333,3.1667,3.6667,3.5,3.3333,3.1667,3,3,2.6667,2.6667,3,2.8333,2.6667,2.6667
2.3333,2,2.5,2.5,2.5,2.8333,2.3333,2.3333,2.1667,2.1667,2.3333,2,2.3333,2,2
3.1667,2.3333,2.3333,2.5,2.6667,2.6667,2.5,2.5,2,2.1667,2.6667,2,2.3333,2,1.8333
2.5,2.5,2.5,2.5,2.8333,3.1667,2.8333,3.1667,2.8333,2.5,2.8333,2.8333,3.5,3.3333,3.1667
2.5,1.8333,2.1667,2.5,1.8333,2.3333,2.1667,2.6667,2.5,2.6667,2,2,1.8333,2.1667,1.8333
3.3333,2.5,2.6667,2.6667,3,2.6667,2.8333,3.3333,3.1667,3,2.5,2.1667,2.6667,2.1667,2.1667
3.3333,1.1667,1.8333,3.5,3.8333,3.1667,2.3333,3.1667,2.1667,3,2.6667,1.6667,2.6667,1.6667,2.5
2.8333,2.3333,2.6667,3,2.6667,2.5,2.1667,2.5,2.3333,2,2.1667,2.1667,2,1.8333,2
3,1.6667,2.1667,3.1667,2.1667,2.8333,2.6667,2.6667,2,2,2.3333,2.5,3.1667,2.3333,2.3333
2.3333,2,2,2,2.1667,1.8333,1.8333,2,1.6667,2.1667,1.8333,1.6667,2.1667,1.8333,1.5
2,2.3333,2.1667,2.3333,3.1667,3,2,3,2.5,2.5,2.3333,1.8333,1.6667,1.6667,2.5
2.5,2,1.3333,2.1667,1.8333,1.8333,1.8333,2.3333,2,2.3333,1.8333,1.6667,2.1667,1.6667,1.8333
2.6667,1.6667,2.5,2.8333,3,2.8333,2,3.1667,2.8333,3.1667,2.6667,2.5,2.3333,2,2.6667
3.5,1,2,2.1667,3.3333,2.5,2.3333,3.1667,3,3.1667,2.6667,1.5,3.5,1.6667,2
2.8333,1.6667,2,2.3333,2.6667,1.6667,1.5,2.1667,2.3333,2,2,1.8333,2.5,1.6667,1.6667
3.5,1.8333,1.6667,3,3.5,3.1667,2.5,2.8333,3.1667,2.8333,2.8333,2,2.6667,2.5,2.1667
1.6667,2.3333,2.6667,2.6667,2.6667,2.5,2.6667,2.3333,2.6667,2.6667,2.3333,2.3333,2.5,2.3333,2.5
2.1667,2.1667,2.3333,2.6667,2.5,2.5,2.8333,3.1667,3,3,2.3333,2.5,2.6667,2.5,2.5
2.3333,1.5,2.3333,2.6667,2.3333,2.3333,1.8333,3,2.1667,2.8333,1.8333,2,2,1.5,1.8333
1.8333,1,1.3333,2.5,3.1667,2.5,2.1667,2.6667,1.8333,2,2,1.1667,1.6667,1,1.3333
2.5,1.3333,1.6667,1.8333,2,2.1667,2,2.3333,2,2,2,1.5,2.3333,1.8333,1.8333
2.1667,2.3333,2.6667,2.6667,3,2.8333,2.5,2.6667,3,3,2.6667,2.6667,2.8333,2.5,3
3.5,2.6667,3.5,3.5,3.1667,2.8333,3.1667,3.1667,3.1667,3.6667,3.1667,3,3.3333,2.8333,2.8333
3.1667,1.5,2,2.3333,3.5,3.5,1.8333,3,2.5,2.8333,1.6667,1.5,2,1.5,1.8333
3,2.3333,2.6667,3,3.1667,3.1667,3,3.3333,2.8333,3,2.6667,2.8333,3,2.5,2.8333
2.8333,1.6667,2.3333,2.5,3.1667,2.1667,2.8333,2.1667,2.6667,2.5,2.5,2,2.5,2,2.1667
2.5,1.8333,2.1667,2.8333,2.6667,2.8333,2.5,2.6667,2.6667,2.6667,2.6667,2.3333,2.6667,2.1667,2.5
2.5,1.8333,1.8333,1.5,1.8333,1.8333,1.6667,2.1667,1.5,1.8333,1.6667,1.6667,1.6667,1.5,1.6667
3,1.1667,1.6667,2.5,2.8333,2.8333,2,3.6667,2.6667,2.6667,2.1667,2.3333,3,1.8333,2
2.3333,1.8333,2.1667,1.8333,2.1667,2.8333,2.6667,2.3333,2.3333,2.1667,2.5,2.6667,2.8333,2.3333,2.6667
2.6667,1.1667,1.6667,2.1667,2.1667,2.3333,2,2.1667,2.1667,2,1.8333,1.5,1.8333,1.5,1.6667
3.5,1.5,2.3333,2.8333,3.5,3.6667,2.1667,3.3333,3.5,3.1667,2.8333,2.5,2.8333,1.6667,3
3,2.8333,2.8333,3,3.1667,3.1667,3,2.6667,3,3.1667,2.6667,2.3333,2.6667,2.5,2.5
2.1667,1.3333,1.1667,2,2.5,2,1.8333,2.3333,1.8333,2.3333,1.8333,1.6667,2,1.5,1.8333
3.1667,2.6667,2.8333,3,2.6667,3.5,2.5,3.3333,2.8333,2.6667,3,3.1667,2.6667,2.6667,2.6667
3,2.5,2.8333,3.6667,3.5,3.3333,2.6667,3.5,2.8333,3,2.5,2.6667,2.3333,2,2.3333
2.8333,2,2.3333,2.5,3.1667,3,2.5,3,3,2.8333,2.5,2.1667,2.6667,2.3333,2.1667
2.8333,2.5,2.8333,3,3,2.6667,2.6667,3,2.8333,2.8333,2.6667,2.5,2.5,2,2.3333
2.8333,2,2.8333,3.6667,3.1667,2.8333,2.5,3.1667,2.6667,3,2.8333,2.6667,2.3333,2,2
3,1,1.8333,1.8333,2.8333,3.8333,2.1667,3.5,2.6667,3,2.5,1.6667,3.1667,1.5,2.5
2.8333,2.1667,2.3333,2.6667,2.8333,2.5,2.8333,2.8333,2.6667,3.3333,3.3333,3.5,3.6667,3.1667,3.5
2.8333,3,2.6667,3.1667,3.1667,3.6667,2.8333,3.6667,3,3.1667,2.6667,2.8333,3,2.3333,2.3333
3.3333,1.1667,2.1667,2.3333,2.6667,2.8333,2.1667,3.5,2.5,3.1667,2.3333,2,3,1.8333,2.5
3,1.1667,1.8333,2,2.3333,2.5,2,2.5,2,2.1667,2,1.8333,2.3333,1.6667,2.1667
3.1667,2.1667,2.3333,2.5,2.5,2.6667,2.5,2.3333,2.8333,2.8333,2.8333,2.1667,3.1667,2.1667,2.6667
2.8333,2.1667,2.8333,3,3.1667,3,2.6667,3,2.8333,2.6667,2.6667,2.6667,2.6667,2.3333,2.5
3.5,1.3333,1.8333,3,3.1667,3.5,2.8333,3.6667,2.8333,2.6667,2.1667,1.8333,3.5,1.8333,2.3333
3,2.5,2.8333,3.3333,2.6667,2.8333,2.8333,3.1667,2.8333,2.8333,2.6667,2.8333,3.1667,2.3333,2.8333
3,2.8333,2.8333,3,3.1667,3.3333,2.6667,2.8333,2.6667,2.6667,2,2.1667,2,2,2
2.8333,2.5,2.6667,3,2.8333,3,2.6667,3,2.8333,3,2.5,2.6667,2.1667,2.3333,2.3333
3.1667,2.6667,2.8333,3.3333,3.1667,3.1667,3.1667,3.3333,3.1667,3.1667,2.8333,2.8333,3.1667,2.8333,3.1667
2.5,1.5,1.8333,3,3.5,3,2,3.6667,2.5,3.5,2.6667,2.5,2.6667,2.6667,2.6667
3.1667,2.3333,2.1667,2.6667,2.1667,2,2.3333,2.3333,2.1667,2.1667,2.1667,2.3333,2,1.8333,2
2,1.1667,1.5,1.8333,1.8333,2.3333,1.6667,2.1667,1.8333,1.6667,2,1.8333,2.3333,1.8333,1.6667
