frequency,amplitude
1,1
1.9,0.70794578
2.7657569,0.57843641
3.61,0.50118723
4.43859805,0.44844665
5.25493811,0.40950162
6.06122343,0.37922483
6.859,0.35481339
7.64941123,0.33458868
8.43333629,0.31747592
