"participant_id","musical_exp","v1","synth","rating"
274,0,10.216,"harmonic",3
274,0,12.4963,"flute",5
274,0,6.2535,"flute",2
274,0,5.1377,"flute",3
274,0,10.6652,"harmonic",3
274,0,2.173,"flute",5
274,0,11.1066,"flute",5
274,0,4.282,"harmonic",5
274,0,1.6824,"harmonic",3
274,0,12.8215,"flute",5
274,0,10.4745,"flute",4
274,0,0.6435,"harmonic",3
276,2,9.0614,"harmonic",5
274,0,10.6068,"flute",5
274,0,12.0711,"harmonic",5
274,0,6.755,"flute",6
274,0,1.3132,"flute",4
276,2,4.0975,"flute",5
277,1,0.2373,"harmonic",1
276,2,5.138,"flute",7
276,2,4.5823,"harmonic",6
277,1,1.6069,"harmonic",1
274,0,13.2791,"harmonic",2
274,0,4.877,"flute",5
274,0,10.53,"flute",5
274,0,14.1454,"flute",5
274,0,14.9989,"harmonic",5
274,0,1.8816,"harmonic",3
274,0,0.1824,"flute",2
274,0,13.9402,"harmonic",4
274,0,8.5891,"harmonic",5
276,2,1.2075,"harmonic",6
274,0,6.5414,"flute",3
276,2,1.1502,"flute",5
276,2,3.5416,"harmonic",5
276,2,9.9417,"harmonic",5
277,1,12.3941,"harmonic",2
276,2,4.2283,"harmonic",7
274,0,12.0473,"harmonic",4
274,0,7.2608,"harmonic",4
274,0,0.7064,"harmonic",1
277,1,12.3147,"harmonic",3
276,2,13.7412,"flute",7
276,2,1.0813,"flute",5
277,1,3.6194,"harmonic",2
276,2,3.8257,"flute",6
276,2,3.9216,"flute",6
277,1,5.6286,"flute",3
277,1,9.715,"flute",4
277,1,0.3758,"harmonic",2
277,1,10.5653,"flute",2
277,1,13.0996,"flute",3
277,1,0.3868,"flute",5
279,20,8.9068,"harmonic",4
274,0,10.155,"flute",5
276,2,12.1051,"flute",6
274,0,1.5585,"harmonic",4
274,0,5.3668,"harmonic",4
276,2,2.3036,"harmonic",5
274,0,7.3786,"harmonic",3
276,2,1.4903,"harmonic",5
274,0,2.9016,"harmonic",4
276,2,10.4846,"flute",5
276,2,1.0112,"flute",7
276,2,8.1072,"harmonic",5
276,2,10.5055,"harmonic",4
276,2,12.8309,"flute",5
276,2,5.187,"harmonic",6
276,2,0.8237,"harmonic",7
274,0,9.2329,"flute",5
276,2,2.2446,"flute",5
274,0,1.1931,"flute",4
274,0,10.8505,"harmonic",4
276,2,0.147,"harmonic",4
276,2,13.9742,"flute",4
277,1,12.299,"flute",5
276,2,11.2303,"harmonic",5
276,2,3.0383,"flute",6
276,2,13.6577,"flute",7
277,1,0.2979,"flute",5
277,1,11.7507,"harmonic",3
277,1,6.8077,"harmonic",3
276,2,11.2083,"flute",7
277,1,13.6901,"flute",1
279,20,8.2491,"harmonic",4
274,0,2.2102,"flute",1
276,2,0.2125,"flute",5
274,0,4.9719,"flute",3
276,2,6.4606,"flute",7
276,2,4.0823,"harmonic",2
277,1,14.8077,"harmonic",1
276,2,12.0212,"harmonic",5
276,2,12.9977,"harmonic",5
276,2,9.0347,"flute",7
276,2,12.2102,"flute",6
277,1,9.6976,"flute",3
