"participant_id","musical_exp","v1","synth","rating"
253,10,10.2233,"harmonic",4
252,2,6.779,"harmonic",1
251,0,6.8099,"guitar",4
299,5,1.1201,"guitar",2
252,2,14.6317,"guitar",6
252,2,2.6203,"harmonic",2
256,3,4.4372,"guitar",1
252,2,7.2103,"guitar",4
256,3,8.5303,"guitar",6
253,10,11.4219,"harmonic",2
256,3,5.1065,"harmonic",7
256,3,4.3842,"guitar",7
251,0,7.8906,"guitar",5
251,0,11.4956,"harmonic",5
249,15,3.4178,"guitar",6
251,0,2.196,"guitar",4
252,2,3.2102,"guitar",3
251,0,6.6654,"guitar",4
252,2,9.6401,"harmonic",3
251,0,1.2112,"guitar",3
252,2,10.1118,"guitar",4
252,2,2.173,"guitar",3
252,2,14.4787,"guitar",3
252,2,1.4234,"harmonic",1
252,2,10.7162,"guitar",4
252,2,7.1297,"guitar",5
252,2,11.6771,"harmonic",2
252,2,11.0298,"guitar",5
252,2,10.2858,"guitar",4
253,10,1.5948,"harmonic",4
252,2,3.6635,"guitar",5
252,2,1.6654,"guitar",3
252,2,8.0744,"harmonic",1
253,10,3.7007,"harmonic",5
253,10,3.3377,"harmonic",4
253,10,4.9645,"harmonic",5
253,10,14.786,"harmonic",2
253,10,8.0669,"guitar",6
253,10,4.5623,"harmonic",4
252,2,0.058,"harmonic",4
252,2,7.481,"guitar",5
252,2,9.9651,"guitar",5
299,5,3.2966,"harmonic",3
252,2,13.0319,"harmonic",2
258,2,5.8692,"guitar",3
252,2,3.992,"guitar",5
297,30,11.105,"guitar",7
253,10,4.9377,"harmonic",5
256,3,2.3876,"guitar",5
256,3,1.5993,"harmonic",6
297,30,3.7653,"harmonic",5
252,2,0.2762,"harmonic",2
253,10,8.1418,"harmonic",5
252,2,8.7959,"harmonic",1
252,2,9.9179,"guitar",4
252,2,6.9414,"guitar",4
253,10,12.2587,"harmonic",5
253,10,6.4936,"harmonic",4
253,10,0.894,"guitar",3
253,10,11.2164,"guitar",3
253,10,11.4156,"guitar",3
256,3,12.6,"harmonic",4
256,3,10.1074,"harmonic",7
253,10,3.6193,"harmonic",4
256,3,0.6437,"guitar",1
256,3,10.4498,"guitar",7
256,3,0.1512,"guitar",5
258,2,5.3312,"harmonic",6
252,2,3.9516,"guitar",4
252,2,3.2725,"harmonic",1
253,10,9.4906,"harmonic",3
252,2,11.9776,"guitar",5
253,10,2.0254,"harmonic",3
253,10,12.3834,"guitar",2
256,3,14.3683,"guitar",5
253,10,1.1382,"harmonic",3
253,10,13.3353,"harmonic",3
253,10,7.9056,"guitar",4
253,10,12.1941,"harmonic",5
253,10,4.5825,"harmonic",5
256,3,9.4952,"harmonic",7
253,10,11.3105,"harmonic",4
256,3,10.066,"harmonic",7
256,3,14.5863,"harmonic",7
256,3,7.9736,"guitar",7
253,10,3.3499,"guitar",5
253,10,2.1733,"guitar",4
253,10,10.6732,"harmonic",3
253,10,12.1325,"guitar",6
253,10,4.4032,"harmonic",5
253,10,0.2028,"guitar",5
253,10,1.8539,"guitar",3
256,3,0.5295,"guitar",1
253,10,9.8172,"guitar",4
256,3,2.1967,"guitar",5
256,3,14.9233,"guitar",5
256,3,5.0266,"guitar",1
299,5,8.137,"harmonic",3
256,3,6.3557,"harmonic",6
256,3,13.5106,"guitar",5
253,10,8.7217,"guitar",3
253,10,1.9553,"harmonic",5
256,3,5.7221,"guitar",7
253,10,14.2958,"guitar",4
256,3,4.0981,"guitar",1
253,10,14.5018,"guitar",4
253,10,0.1434,"guitar",5
253,10,11.6101,"guitar",3
253,10,3.2332,"guitar",3
256,3,7.0621,"harmonic",7
256,3,2.8805,"guitar",1
256,3,2.9422,"guitar",1
256,3,4.2954,"harmonic",7
256,3,7.2381,"guitar",7
256,3,9.9402,"harmonic",7
253,10,3.574,"guitar",4
253,10,4.9457,"harmonic",3
253,10,7.0173,"guitar",6
253,10,8.3031,"guitar",6
253,10,4.0155,"harmonic",5
253,10,11.2426,"guitar",3
253,10,11.3136,"guitar",3
253,10,6.0996,"guitar",5
253,10,8.5711,"harmonic",3
256,3,8.077,"guitar",5
256,3,0.1632,"guitar",1
256,3,4.6958,"guitar",1
256,3,5.6795,"harmonic",7
258,2,13.5912,"guitar",4
253,10,13.8902,"guitar",4
256,3,10.155,"guitar",7
253,10,14.9172,"guitar",3
253,10,3.7707,"guitar",6
258,2,7.4918,"harmonic",6
256,3,14.7407,"harmonic",7
256,3,12.2386,"guitar",7
258,2,13.6042,"harmonic",5
256,3,14.5938,"harmonic",5
258,2,14.8116,"harmonic",6
258,2,4.9636,"guitar",5
258,2,5.5648,"guitar",6
258,2,10.4126,"guitar",5
299,5,14.2896,"harmonic",1
253,10,6.8594,"guitar",5
256,3,7.9747,"harmonic",7
253,10,7.2228,"harmonic",4
253,10,6.3885,"guitar",3
256,3,12.439,"guitar",6
253,10,2.7623,"harmonic",4
256,3,1.1706,"harmonic",7
256,3,12.5818,"harmonic",7
256,3,6.1737,"guitar",1
256,3,6.882,"guitar",2
256,3,10.9702,"guitar",2
256,3,6.1312,"harmonic",7
256,3,12.7048,"guitar",7
256,3,14.0278,"guitar",7
253,10,5.4337,"harmonic",4
253,10,12.802,"harmonic",3
253,10,10.0323,"guitar",5
256,3,4.4034,"harmonic",7
253,10,8.9104,"guitar",4
256,3,1.5433,"harmonic",7
253,10,12.1592,"harmonic",6
258,2,7.9075,"harmonic",6
256,3,10.3026,"harmonic",7
256,3,14.568,"guitar",1
256,3,10.8509,"guitar",7
256,3,13.4394,"harmonic",2
256,3,13.1267,"guitar",4
258,2,0.6435,"harmonic",5
258,2,11.5561,"guitar",6
253,10,4.0358,"guitar",4
258,2,13.6767,"guitar",6
256,3,13.2957,"harmonic",7
256,3,5.4599,"guitar",6
299,5,8.2104,"harmonic",5
256,3,0.867,"harmonic",3
258,2,14.4587,"guitar",5
258,2,0.164,"harmonic",5
258,2,1.6192,"guitar",5
256,3,14.0095,"guitar",7
258,2,2.9574,"guitar",4
258,2,7.399,"harmonic",5
258,2,8.162,"harmonic",5
256,3,1.4288,"harmonic",6
258,2,2.8968,"harmonic",6
299,5,4.1219,"guitar",7
299,5,8.4054,"guitar",7
299,5,5.8079,"harmonic",3
300,0,4.7402,"guitar",7
299,5,6.3315,"harmonic",3
300,0,12.5431,"harmonic",1
300,0,4.3097,"guitar",7
300,0,3.5187,"harmonic",4
300,0,5.1102,"harmonic",2
302,3,2.1294,"guitar",5
256,3,12.7803,"guitar",3
256,3,14.7485,"harmonic",6
256,3,7.9178,"harmonic",7
256,3,8.4594,"guitar",1
256,3,3.8402,"guitar",1
256,3,3.1923,"guitar",7
256,3,13.6652,"guitar",7
258,2,1.968,"guitar",6
256,3,3.2499,"guitar",7
258,2,10.7404,"guitar",6
258,2,2.0672,"guitar",6
258,2,3.1695,"guitar",4
258,2,8.764,"harmonic",5
258,2,9.5931,"harmonic",5
258,2,10.9715,"guitar",5
256,3,6.1102,"guitar",1
256,3,0.5335,"harmonic",1
299,5,7.0056,"harmonic",3
256,3,13.6577,"harmonic",7
299,5,9.9288,"guitar",7
258,2,1.5155,"harmonic",4
299,5,13.2179,"harmonic",3
299,5,13.5901,"guitar",3
299,5,11.7953,"harmonic",3
299,5,12.4923,"harmonic",1
299,5,8.6988,"harmonic",4
300,0,8.3785,"harmonic",1
300,0,10.8885,"guitar",7
256,3,14.6859,"guitar",7
256,3,4.111,"harmonic",7
258,2,4.5734,"harmonic",5
256,3,2.8123,"harmonic",7
258,2,10.8441,"harmonic",5
256,3,3.1771,"harmonic",7
258,2,0.5399,"harmonic",6
256,3,10.1644,"guitar",7
258,2,13.4158,"harmonic",5
258,2,12.9661,"harmonic",4
258,2,4.2477,"harmonic",6
299,5,0.3128,"guitar",6
299,5,3.8573,"harmonic",5
300,0,5.7961,"guitar",1
300,0,9.6319,"harmonic",1
256,3,9.983,"harmonic",7
258,2,13.3972,"guitar",5
258,2,14.955,"harmonic",3
258,2,12.7806,"harmonic",6
258,2,1.0856,"guitar",4
258,2,0.4746,"guitar",6
297,30,0.9573,"guitar",6
258,2,11.1883,"harmonic",6
258,2,12.5635,"harmonic",5
300,0,8.1652,"harmonic",1
300,0,14.382,"harmonic",1
300,0,11.0692,"harmonic",1
300,0,8.8111,"harmonic",1
300,0,8.5033,"harmonic",1
299,5,0.6011,"guitar",2
300,0,3.7206,"guitar",7
256,3,8.4562,"guitar",6
258,2,12.3668,"harmonic",5
299,5,9.3088,"guitar",7
300,0,1.5368,"harmonic",1
299,5,6.9546,"guitar",7
299,5,13.5322,"harmonic",3
300,0,12.319,"guitar",6
299,5,10.7665,"guitar",3
299,5,12.921,"harmonic",3
300,0,0.9799,"guitar",3
299,5,9.6976,"harmonic",2
300,0,7.2048,"guitar",6
256,3,10.8846,"guitar",5
300,0,8.9566,"harmonic",1
299,5,0.6992,"guitar",3
258,2,3.0517,"harmonic",5
299,5,12.5655,"harmonic",3
258,2,0.3482,"harmonic",5
258,2,8.1114,"harmonic",5
258,2,2.4867,"guitar",6
300,0,10.484,"guitar",4
258,2,2.8048,"guitar",5
299,5,2.5793,"guitar",4
300,0,2.4997,"guitar",1
300,0,1.1526,"harmonic",1
299,5,11.0227,"guitar",6
256,3,13.4156,"harmonic",3
258,2,4.7146,"harmonic",4
258,2,8.8553,"harmonic",4
258,2,8.1753,"harmonic",6
258,2,2.0829,"harmonic",5
258,2,3.6257,"harmonic",6
258,2,9.5396,"guitar",5
258,2,6.0137,"harmonic",5
258,2,14.4649,"guitar",6
258,2,11.4688,"harmonic",5
258,2,13.0099,"guitar",4
258,2,9.3233,"guitar",5
258,2,4.0957,"guitar",6
258,2,8.9731,"harmonic",5
258,2,3.6924,"harmonic",5
258,2,13.7569,"harmonic",6
300,0,6.0381,"harmonic",1
302,3,9.5671,"guitar",6
300,0,0.7109,"harmonic",1
300,0,2.0252,"guitar",6
302,3,14.3135,"guitar",5
300,0,6.148,"guitar",6
300,0,13.4752,"guitar",2
300,0,11.4153,"harmonic",2
305,1,12.5927,"harmonic",2
302,3,1.9108,"guitar",3
305,1,0.1009,"harmonic",1
305,1,0.8072,"harmonic",2
305,1,12.4751,"harmonic",1
258,2,6.3517,"harmonic",6
258,2,12.7223,"guitar",5
258,2,8.6745,"harmonic",5
299,5,9.9765,"harmonic",4
258,2,12.5469,"guitar",5
305,1,12.4364,"guitar",4
299,5,0.0775,"harmonic",5
300,0,2.921,"harmonic",1
302,3,4.7474,"harmonic",1
300,0,10.9247,"guitar",1
300,0,4.4837,"harmonic",4
302,3,8.9107,"harmonic",2
305,1,5.788,"guitar",3
305,1,0.6668,"guitar",4
258,2,13.1119,"harmonic",5
258,2,3.5898,"harmonic",5
299,5,13.5402,"harmonic",1
258,2,12.1504,"harmonic",5
258,2,13.7711,"guitar",6
258,2,2.0352,"guitar",5
300,0,10.8201,"guitar",6
258,2,9.0211,"harmonic",5
299,5,12.308,"guitar",5
300,0,1.1619,"guitar",7
300,0,8.7989,"guitar",7
300,0,0.2477,"guitar",6
258,2,11.0107,"guitar",5
258,2,12.2926,"guitar",5
258,2,14.2309,"guitar",5
299,5,14.8078,"harmonic",3
299,5,3.0186,"harmonic",3
302,3,13.1459,"guitar",2
299,5,3.7365,"guitar",6
300,0,8.5636,"guitar",7
300,0,14.1454,"guitar",7
300,0,10.2582,"guitar",6
302,3,13.0644,"harmonic",2
302,3,12.5728,"guitar",6
