"participant_id","musical_exp","v1","synth","rating"
137,7,10.1103,"piano",2
137,7,1.6549,"piano",2
139,5,7.2727,"harmonic",5
139,5,11.5184,"harmonic",2
137,7,13.8795,"piano",5
106,0,9.4327,"harmonic",2
114,0,7.381,"piano",6
114,0,1.5338,"harmonic",1
114,0,9.9281,"harmonic",2
106,0,0.5373,"harmonic",2
106,0,5.5648,"piano",6
114,0,11.4559,"harmonic",1
117,10,9.6084,"harmonic",4
101,6,4.5904,"harmonic",5
114,0,12.323,"piano",5
112,8,5.5062,"piano",6
112,8,4.9986,"harmonic",5
117,10,12.3569,"piano",5
137,7,12.4325,"harmonic",2
134,7,14.2055,"piano",5
137,7,0.8262,"harmonic",2
112,8,6.4544,"piano",3
120,0,11.5861,"piano",7
112,8,12.5567,"harmonic",3
120,0,2.9298,"harmonic",4
134,7,10.846,"harmonic",1
101,6,9.9459,"piano",5
139,5,12.3012,"harmonic",6
137,7,12.0746,"piano",5
106,0,2.657,"piano",6
140,0,2.5269,"piano",1
114,0,9.0148,"piano",6
95,0,5.171,"harmonic",5
137,7,12.5602,"piano",2
95,0,12.1145,"harmonic",6
110,0,0.8423,"harmonic",3
117,10,8.339,"harmonic",3
139,5,1.19,"harmonic",3
118,0,11.6595,"harmonic",1
134,7,14.7265,"piano",5
140,0,1.3294,"harmonic",2
134,7,8.447,"piano",5
139,5,4.2562,"piano",7
139,5,0.6466,"harmonic",1
112,8,0.0434,"harmonic",2
112,8,7.3297,"piano",6
140,0,1.601,"piano",5
117,10,14.4871,"piano",3
134,7,10.009,"harmonic",3
117,10,4.8483,"harmonic",5
139,5,10.514,"piano",2
137,7,13.3489,"piano",5
137,7,7.1102,"piano",3
139,5,10.2322,"harmonic",4
140,0,3.8988,"piano",6
140,0,1.8816,"piano",4
139,5,3.733,"harmonic",6
149,3,9.2934,"piano",3
117,10,4.2319,"harmonic",4
114,0,10.6207,"harmonic",2
117,10,5.2535,"piano",4
101,6,5.7588,"harmonic",5
110,0,6.1565,"harmonic",3
137,7,8.1895,"harmonic",3
137,7,14.6052,"harmonic",1
117,10,8.4325,"harmonic",6
112,8,9.1165,"piano",2
134,7,1.2075,"harmonic",1
137,7,7.4485,"piano",3
140,0,14.2218,"harmonic",4
137,7,8.3104,"piano",4
110,0,10.4498,"harmonic",4
106,0,7.4425,"piano",5
106,0,7.4874,"piano",5
117,10,14.3373,"piano",4
112,8,14.3783,"piano",3
95,0,7.9778,"harmonic",3
114,0,14.0974,"piano",6
95,0,4.7705,"piano",5
95,0,3.403,"piano",5
114,0,6.9414,"piano",5
112,8,13.6153,"harmonic",6
134,7,12.1571,"piano",4
182,6,2.5751,"piano",2
117,10,13.7589,"piano",4
134,7,5.4675,"harmonic",2
137,7,14.7445,"harmonic",2
137,7,1.1406,"piano",3
139,5,5.9935,"harmonic",2
112,8,2.1046,"harmonic",3
139,5,9.2557,"piano",7
140,0,8.1203,"piano",6
134,7,4.0464,"piano",7
139,5,11.8802,"piano",7
139,5,12.9607,"piano",3
140,0,3.1553,"harmonic",3
110,0,1.5041,"harmonic",3
95,0,12.7627,"piano",6
137,7,10.9668,"piano",5
137,7,7.5961,"harmonic",2
137,7,14.0442,"harmonic",2
139,5,3.4364,"harmonic",3
137,7,1.8051,"harmonic",2
139,5,10.7711,"piano",5
143,0,12.8553,"piano",3
139,5,6.8528,"piano",6
137,7,9.0536,"harmonic",3
140,0,8.6192,"piano",4
139,5,2.9681,"harmonic",5
140,0,6.9109,"harmonic",4
139,5,1.6086,"harmonic",3
147,0,1.6001,"piano",3
137,7,4.9989,"harmonic",3
114,0,14.0715,"harmonic",3
120,0,1.9095,"harmonic",5
134,7,6.9526,"harmonic",3
112,8,9.1592,"piano",6
95,0,1.7899,"harmonic",3
139,5,1.8675,"harmonic",3
139,5,6.5832,"piano",5
139,5,10.8815,"piano",4
149,3,4.1425,"piano",2
137,7,11.5867,"harmonic",4
139,5,12.7831,"piano",2
151,0,1.5749,"piano",4
139,5,5.6277,"harmonic",3
148,1,13.4158,"piano",5
151,0,6.3312,"harmonic",3
112,8,0.8718,"harmonic",5
112,8,4.3891,"piano",5
114,0,9.8765,"harmonic",1
117,10,9.5014,"harmonic",6
117,10,9.9817,"harmonic",6
101,6,0.3981,"harmonic",5
112,8,12.439,"piano",3
120,0,13.4074,"harmonic",3
117,10,10.3978,"piano",4
118,0,8.125,"piano",5
118,0,0.0739,"harmonic",1
182,6,12.2156,"harmonic",4
101,6,4.4861,"harmonic",5
159,7,12.688,"harmonic",2
114,0,3.2291,"harmonic",2
120,0,9.5316,"piano",7
120,0,3.0085,"harmonic",3
120,0,13.4071,"harmonic",3
101,6,0.7064,"harmonic",5
134,7,5.1211,"piano",6
117,10,5.3932,"harmonic",5
114,0,7.5315,"harmonic",2
101,6,10.7229,"piano",5
112,8,11.6837,"harmonic",3
117,10,10.6466,"harmonic",5
118,0,12.6944,"harmonic",3
117,10,1.7127,"harmonic",5
114,0,11.5335,"piano",3
112,8,12.9399,"piano",3
112,8,10.5657,"piano",6
117,10,13.7569,"harmonic",7
114,0,7.5108,"harmonic",1
114,0,6.6726,"piano",6
114,0,6.4067,"piano",1
101,6,6.3588,"piano",5
120,0,13.2179,"piano",5
114,0,3.3897,"piano",5
95,0,0.1152,"harmonic",2
112,8,8.6891,"harmonic",5
114,0,5.4613,"harmonic",1
112,8,8.5245,"harmonic",3
118,0,3.6629,"harmonic",1
95,0,7.791,"piano",6
120,0,2.1412,"piano",5
101,6,1.4678,"piano",5
120,0,12.5024,"harmonic",3
114,0,11.9139,"piano",6
117,10,4.8936,"piano",6
118,0,2.8013,"piano",5
117,10,3.0085,"harmonic",4
117,10,7.5395,"piano",4
120,0,14.6698,"piano",7
134,7,1.0572,"piano",4
101,6,9.1634,"piano",5
139,5,13.0319,"harmonic",2
134,7,14.6522,"piano",5
182,6,9.0385,"piano",4
112,8,6.7022,"harmonic",5
114,0,8.6959,"piano",6
139,5,2.173,"piano",2
118,0,4.2113,"harmonic",3
112,8,3.4776,"piano",3
118,0,3.874,"piano",2
120,0,7.4681,"piano",6
137,7,2.4783,"piano",3
139,5,0.8651,"harmonic",3
137,7,11.6472,"harmonic",2
140,0,3.2892,"piano",3
139,5,0.0441,"piano",6
139,5,2.6752,"harmonic",3
118,0,3.4019,"harmonic",1
120,0,7.1679,"harmonic",5
118,0,14.2358,"piano",6
120,0,9.6319,"piano",6
112,8,10.168,"piano",2
118,0,13.5164,"piano",4
112,8,3.7272,"piano",6
117,10,12.324,"piano",6
117,10,5.5027,"harmonic",3
114,0,9.1993,"harmonic",3
112,8,6.9328,"harmonic",6
118,0,11.4616,"piano",2
117,10,8.2009,"piano",5
117,10,12.8887,"harmonic",6
117,10,13.535,"piano",4
118,0,9.854,"harmonic",1
182,6,4.4032,"piano",3
112,8,11.4591,"piano",3
114,0,12.2587,"harmonic",2
153,0,3.0211,"harmonic",1
155,0,2.8792,"harmonic",1
118,0,2.8882,"harmonic",1
120,0,3.6133,"piano",6
118,0,1.0169,"harmonic",1
155,0,6.9784,"piano",7
118,0,12.0473,"harmonic",3
182,6,10.5283,"piano",2
112,8,9.4394,"harmonic",6
114,0,7.6299,"harmonic",2
134,7,9.2428,"piano",6
101,6,13.7793,"piano",5
117,10,5.1148,"harmonic",3
117,10,2.2102,"piano",3
118,0,8.5891,"piano",4
118,0,3.1854,"harmonic",1
118,0,5.6187,"harmonic",1
134,7,2.3363,"piano",6
95,0,8.38,"piano",6
95,0,2.8682,"piano",5
118,0,4.1245,"harmonic",1
118,0,11.4472,"harmonic",1
95,0,6.4977,"piano",6
112,8,11.4454,"harmonic",5
112,8,2.921,"piano",6
117,10,6.8188,"harmonic",5
112,8,11.5092,"piano",6
120,0,7.8511,"piano",6
182,6,7.0671,"piano",5
120,0,11.4228,"harmonic",5
182,6,14.1545,"harmonic",6
120,0,5.571,"piano",7
114,0,5.9406,"harmonic",1
95,0,11.8898,"harmonic",6
120,0,9.3683,"harmonic",4
120,0,10.3655,"harmonic",3
120,0,7.1739,"piano",6
95,0,4.9377,"piano",5
117,10,13.3497,"harmonic",6
120,0,0.2285,"harmonic",3
118,0,13.5652,"harmonic",2
120,0,13.4402,"piano",5
120,0,13.1802,"piano",5
139,5,4.5931,"piano",3
139,5,2.4831,"piano",5
140,0,4.2619,"harmonic",3
117,10,9.5931,"harmonic",6
139,5,11.2074,"harmonic",2
120,0,7.2999,"piano",6
120,0,4.8782,"piano",7
120,0,7.1026,"harmonic",3
120,0,14.2166,"piano",6
139,5,8.6824,"harmonic",3
120,0,8.7869,"piano",7
120,0,2.8914,"harmonic",3
118,0,2.3876,"piano",3
118,0,12.247,"piano",1
139,5,10.8441,"harmonic",3
182,6,2.4523,"piano",2
120,0,14.9473,"harmonic",3
95,0,13.7341,"piano",6
117,10,9.9078,"harmonic",4
117,10,0.6831,"piano",5
120,0,1.9741,"harmonic",3
120,0,9.4175,"harmonic",3
139,5,9.4727,"piano",6
143,0,13.2893,"harmonic",4
120,0,3.9993,"piano",6
139,5,3.6389,"harmonic",3
120,0,11.169,"harmonic",2
147,0,0.3482,"piano",5
