interval,rating,rating_boot_mean,rating_boot_se
0,0.3359011987013274,0.33073959770566885,0.1180861449765274
0.015015015015015015,0.33240305737708564,0.32721156763348885,0.11627945001466261
0.03003003003003003,0.328380325907683,0.3231656875895806,0.11446193761934396
0.04504504504504504,0.32379318784438,0.31856260006589543,0.11263773829546982
0.06006006006006006,0.31860181741259824,0.31336288848037375,0.11081142920887463
0.07507507507507508,0.31276687488990085,0.30752756546650184,0.10898801711491543
0.09009009009009009,0.3062500792204854,0.301018638477961,0.10717290713863695
0.10510510510510511,0.2990148578151254,0.2937997528168438,0.10537185507316033
0.12012012012012012,0.29102707058182137,0.28583690933527156,0.10359090104708307
0.13513513513513514,0.2822558017392029,0.27709925061806656,0.10183628284583839
0.15015015015015015,0.27267420893719285,0.2675599054798517,0.1001143279203784
0.16516516516516516,0.2622604147614027,0.25719687721106027,0.09843132422997093
0.18018018018018017,0.2509984210091241,0.24599395635546362,0.09679337156572214
0.19519519519519518,0.23887902144572973,0.23394163413659483,0.09520621686137393
0.21021021021021022,0.22590068439697245,0.22103798827724258,0.09367507912651692
0.22522522522522523,0.21207037287470776,0.20728950923478295,0.09220447186578107
0.24024024024024024,0.19740426737113706,0.19271183219934146,0.09079803292909856
0.2552552552552553,0.1819283553868077,0.17733033896802763,0.08945837336435668
0.2702702702702703,0.16567885253219553,0.16118059437565624,0.08818695768089417
0.2852852852852853,0.14870242292088995,0.1443085846052379,0.08698402767601843
0.3003003003003003,0.13105617167406147,0.12677072956331,0.08584858041717912
0.3153153153153153,0.11280738962196699,0.10863364855538139,0.08477840805574943
0.3303303303303303,0.09403303945686116,0.08997366750292815,0.08377020301737084
0.34534534534534533,0.07481898319573604,0.07087606646303576,0.08281972711317545
0.36036036036036034,0.05525896220218817,0.0514340776111825,0.08192203775520472
0.37537537537537535,0.03545335241517778,0.03174765534834768,0.08107175933710552
0.39039039039039036,0.015507728001573951,0.011922050944795539,0.08026338355069662
0.40540540540540543,-0.00446872441742896,-0.007933766698733472,0.07949157944242521
0.42042042042042044,-0.024364892205144408,-0.027708795726055915,0.07875149269067637
0.43543543543543545,-0.044069471251088135,-0.04729173894734149,0.07803901401693547
0.45045045045045046,-0.06347269529229635,-0.06657274095338654,0.07735099873771485
0.46546546546546547,-0.08246800892245645,-0.08544507334336686,0.07668542295626399
0.4804804804804805,-0.10095363810432927,-0.10380672148007149,0.07604146640200968
0.4954954954954955,-0.11883401904458664,-0.12156183313841357,0.07541951701053518
0.5105105105105106,-0.13602105477846704,-0.1386219978057407,0.07482109755179478
0.5255255255255256,-0.15243517798591988,-0.15490733444372257,0.0742487195537247
0.5405405405405406,-0.16800620768232113,-0.17034737448018694,0.0737056741019207
0.5555555555555556,-0.18267399585280844,-0.18488173502795635,0.07319577259024673
0.5705705705705706,-0.19638886733985653,-0.1984605843616837,0.07272305302432376
0.5855855855855856,-0.20911186204364338,-0.21104490725899658,0.0722914690106715
0.6006006006006006,-0.2208147926393047,-0.22260658186414348,0.07190457914615946
0.6156156156156156,-0.23148013361325728,-0.23312828236757022,0.07156525424537628
0.6306306306306306,-0.24110075867102848,-0.24260322324641925,0.0712754188031428
0.6456456456456456,-0.24967954376468687,-0.2510347613842302,0.07103584135764215
0.6606606606606606,-0.2572288524691413,-0.2584358724074582,0.07084598603407458
0.6756756756756757,-0.26376991954436724,-0.26482851733923124,0.07070393452543658
0.6906906906906907,-0.26933214755870455,-0.27024291541385415,0.07060638413374368
0.7057057057057057,-0.27395233065488106,-0.27471673877554237,0.07054872333252395
0.7207207207207207,-0.27767381907024413,-0.2782942448722024,0.07052518178629676
0.7357357357357357,-0.2805456379417506,-0.28102536263994315,0.07052904713757896
0.7507507507507507,-0.2826215742146375,-0.28296474898034996,0.07055293648626716
0.7657657657657657,-0.2839592460375242,-0.28417083243798513,0.07058910671336958
0.7807807807807807,-0.284619169714979,-0.2847048612427472,0.07062978499320151
0.7957957957957957,-0.2846638399150739,-0.28462997284028224,0.07066749927564504
0.8108108108108109,-0.2841568391946463,-0.2840103015590832,0.07069538837601885
0.8258258258258259,-0.2831619928198347,-0.28291014005312315,0.07070747263566664
0.8408408408408409,-0.2817425841659808,-0.28139316855525914,0.07069886884304727
0.8558558558558559,-0.2799606445709896,-0.2795217637718534,0.07066593705749884
0.8708708708708709,-0.2778763293450069,-0.2773563964888644,0.07060635188930928
0.8858858858858859,-0.2755473887341391,-0.2749551237410749,0.07051909631679554
0.9009009009009009,-0.2730287390983851,-0.2723731778605141,0.07040438185678301
0.9159159159159159,-0.2703721355647522,-0.2696626510431186,0.07026350439518847
0.9309309309309309,-0.26762594318436167,-0.26687227045126866,0.07009864975327341
0.9459459459459459,-0.26483499942553645,-0.26404725550761515,0.06991266665279346
0.960960960960961,-0.2620405569594714,-0.2612292461280646,0.06970882675828584
0.975975975975976,-0.2592802924191481,-0.2584562883620258,0.06949059165457037
0.990990990990991,-0.2565883643814889,-0.25576286239486157,0.06926140488632107
1.006006006006006,-0.2539955024280616,-0.25317993721598264,0.06902452369446012
1.021021021021021,-0.25152910890031016,-0.2507350365118845,0.06878290021328481
1.0360360360360361,-0.24921335591945024,-0.24845230150069747,0.06853911621955265
1.0510510510510511,-0.24706926234354476,-0.24635253842714508,0.06829536974259377
1.0660660660660661,-0.24511473846241633,-0.24445324118215744,0.06805350665305468
1.0810810810810811,-0.24336459019590992,-0.24276858285805175,0.06781508634154386
1.0960960960960962,-0.24183047912297045,-0.24130937382513437,0.06758146817321599
