"network_id","degree","category","v1","v2"
2,0,"""pleasant""",5.27670169112168,6.12264508192499
2,1,"""pleasant""",5.27670169112168,6.12264508192499
2,2,"""pleasant""",2.25017501750175,6.12264508192499
2,3,"""pleasant""",2.25017501750175,3.28977897789779
2,4,"""pleasant""",3.63281328132813,3.28977897789779
2,5,"""pleasant""",3.63281328132813,7.17516751675167
2,6,"""pleasant""",3.98424842484248,7.17516751675167
2,7,"""pleasant""",3.98424842484248,2.84733473347335
2,8,"""pleasant""",3.84703470347035,2.84733473347335
2,9,"""pleasant""",3.84703470347035,3.31918191819182
2,10,"""pleasant""",7.47059705970597,3.31918191819182
2,11,"""pleasant""",7.47059705970597,2.60861086108611
2,12,"""pleasant""",7.3956895689569,2.60861086108611
2,13,"""pleasant""",7.3956895689569,5.04555455545555
2,14,"""pleasant""",4.64301430143014,5.04555455545555
2,15,"""pleasant""",4.64301430143014,4.13126312631263
2,16,"""pleasant""",5.08405840584058,4.13126312631263
2,17,"""pleasant""",5.08405840584058,2.66251625162516
2,18,"""pleasant""",7.5,2.66251625162516
2,19,"""pleasant""",7.5,7.36418641864186
2,20,"""pleasant""",2.500100010001,7.36418641864186
2,21,"""pleasant""",2.500100010001,1.29247924792479
2,22,"""pleasant""",2.15006500650065,1.29247924792479
2,23,"""pleasant""",2.15006500650065,3.51520152015201
2,24,"""pleasant""",7.4047904790479,3.51520152015201
2,25,"""pleasant""",7.4047904790479,7.13316331633163
2,26,"""pleasant""",4.94124412441244,7.13316331633163
2,27,"""pleasant""",4.94124412441244,7.42439243924392
2,28,"""pleasant""",3.13576357635764,7.42439243924392
2,29,"""pleasant""",3.13576357635764,6.6956195619562
2,30,"""pleasant""",0.875937593759376,6.6956195619562
2,31,"""pleasant""",0.875937593759376,7.16186618661866
2,32,"""pleasant""",1.3981898189819,7.16186618661866
2,33,"""pleasant""",1.3981898189819,3.60621062106211
2,34,"""pleasant""",3.60621062106211,3.60621062106211
2,35,"""pleasant""",3.60621062106211,5.25277527752775
2,36,"""pleasant""",6.62001200120012,5.25277527752775
2,37,"""pleasant""",6.62001200120012,3.48509850985098
2,38,"""pleasant""",4.24467446744674,3.48509850985098
