interval,roll_off,rating,rating_se,rating_boot_mean,rating_boot_se
0,7,0.3864263460057482,0,0.3847765764989267,0.08539193694247811
0.015015015015015015,7,0.37596574393305726,0,0.3744239399119441,0.0842651826790454
0.03003003003003003,7,0.365023554164906,0,0.3635904692846241,0.08314935582191145
0.04504504504504504,7,0.35358708539815625,0,0.35226309331435257,0.08204888488330378
0.06006006006006006,7,0.3416453138040973,0,0.3404303720861672,0.08096825110359912
0.07507507507507508,7,0.3291892075140035,0,0.32808282132920796,0.07991185999791338
0.09009009009009009,7,0.3162120687549219,0,0.3152132547159707,0.07888389482187398
0.10510510510510511,7,0.3027098899355225,0,0.30181714053941394,0.07788815617902001
0.12012012012012012,7,0.2886817189863188,0,0.28789296809671316,0.07692789400290516
0.13513513513513514,7,0.2741300281969076,0,0.27344261803444525,0.07600564017637222
0.15015015015015015,7,0.2590610796847431,0,0.25847172978952415,0.07512305188375723
0.16516516516516516,7,0.24348527950146054,0,0.2429900581220596,0.07428077717435062
0.18018018018018017,7,0.22741751126729523,0,0.2270118096173187,0.07347835488324836
0.19519519519519518,7,0.21087743916358595,0,0.2105559489797047,0.07271416077641625
0.21021021021021022,7,0.19388976915796632,0,0.19364646400668306,0.07198541040466375
0.22522522522522523,7,0.1764844565467331,0,0.17631257737810144,0.0712882266251759
0.24024024024024024,7,0.15869684734290734,0,0.15858889289743275,0.07061777617276754
0.2552552552552553,7,0.14056774079467432,0,0.14051546365335055,0.06996847525886336
0.2702702702702703,7,0.12214336047213815,0,0.12213776981368367,0.06933425926517195
0.2852852852852853,7,0.1034752220000623,0,0.1035065944999744,0.06870890655047442
0.3003003003003003,7,0.08461988673013063,0,0.08467778749564403,0.06808640156747635
0.3153153153153153,7,0.0656385925213813,0,0.0657119084789056,0.06746131821024598
0.3303303303303303,7,0.04659675540041338,0,0.046673744089288316,0.0668292008352302
0.34534534534534533,7,0.027563339246633758,0,0.027631696452645096,0.06618691792130985
0.36036036036036034,7,0.008610094796671759,0,0.008657044785579712,0.0655329620416156
0.37537537537537535,7,-0.01018932586165868,0,-0.010176913688496103,0.06486766992926858
0.39039039039039036,7,-0.028760367646040792,0,-0.028795832173162488,0.06419333822331164
0.40540540540540543,7,-0.04702866611653848,0,-0.047125375324653364,0.0635142143595331
0.42042042042042044,7,-0.06492121276711016,0,-0.06509235062477474,0.0628363484463433
0.43543543543543545,7,-0.08236756250659462,0,-0.08262588260977075,0.06216730118122578
0.45045045045045046,7,-0.09930104867121538,0,-0.09965859781473005,0.06151571497264759
0.46546546546546547,7,-0.11565996684176863,0,-0.1161277846312402,0.06089076993121162
0.4804804804804805,7,-0.13138868627737457,0,-0.13197648999506542,0.06030156196416434
0.4954954954954955,7,-0.14643864736317957,0,-0.1471545142826405,0.059756454607505165
0.5105105105105106,7,-0.16076920543712503,0,-0.16161926728802278,0.05926246648389603
0.5255255255255256,7,-0.1743482858840037,0,-0.17533645184505012,0.0588247592627828
0.5405405405405406,7,-0.18715282242416256,0,-0.18828054756269216,0.058446284397447305
0.5555555555555556,7,-0.19916895979798102,0,-0.20043507507491987,0.058127630206753926
0.5705705705705706,7,-0.21039201303014748,0,-0.2117926307874778,0.0578670859962934
0.5855855855855856,7,-0.22082618741185284,0,-0.2223546927595305,0.057660911138391197
0.6006006006006006,7,-0.23048407537869145,0,-0.23213120936283707,0.05750376992433511
0.6156156156156156,7,-0.23938595764467321,0,-0.24113999290147906,0.05738927286102865
0.6306306306306306,7,-0.24755894538325182,0,-0.24940594963258786,0.057310555413447664
0.6456456456456456,7,-0.2550360071799294,0,-0.25696018487008254,0.05726082687036325
0.6606606606606606,7,-0.2618549284072047,0,-0.2638390265162142,0.057233833379688674
0.6756756756756757,7,-0.26805725136796016,0,-0.27008301212145625,0.05722419692620546
0.6906906906906907,7,-0.2736872420944273,0,-0.27573588336226706,0.05722761223221854
0.7057057057057057,7,-0.27879092442851283,0,-0.2808436278560611,0.05724090280837365
0.7207207207207207,7,-0.28341521451427343,0,-0.28545360194297037,0.05726195321468583
0.7357357357357357,7,-0.28760717981223555,0,-0.28961376006528194,0.05728954567447206
0.7507507507507507,7,-0.29141343696002114,0,-0.29337200737361235,0.0573231351360202
0.7657657657657657,7,-0.294879692992171,0,-0.2967756829078219,0.05736259800307259
0.7807807807807807,7,-0.29805042524666153,0,-0.2998711718135301,0.057407986791682394
0.7957957957957957,7,-0.3009686872530974,0,-0.30270363713276077,0.05745931690344277
0.8108108108108109,7,-0.30367602140052957,0,-0.30531685518537754,0.05751640365155354
0.8258258258258259,7,-0.30621245445943124,0,-0.3077531337234363,0.05757875880113956
0.8408408408408409,7,-0.3086165491885442,0,-0.3100532890328368,0.05764554731216719
0.8558558558558559,7,-0.31092548428478356,0,-0.31225665698027066,0.057715597684529614
0.8708708708708709,7,-0.31317513573040745,0,-0.31440111354743816,0.05778745403785275
0.8858858858858859,7,-0.3154001349754173,0,-0.31652308245498467,0.05785945522261334
0.9009009009009009,7,-0.3176338831196663,0,-0.318657510782553,0.05792982589562783
0.9159159159159159,7,-0.31990850503129736,0,-0.320837797720834,0.05799676629204066
0.9309309309309309,7,-0.32225473281757805,0,-0.32309566640628773,0.05805853079731851
0.9459459459459459,7,-0.3247017138869575,0,-0.32546097384942746,0.058113489606699965
0.960960960960961,7,-0.32727674463515893,0,-0.32796145895307716,0.0581601719569192
0.975975975975976,7,-0.3300049361973704,0,-0.3306224332460316,0.05819729291541769
0.990990990990991,7,-0.33290882341802186,0,-0.33346642300007945,0.05822376800080314
